"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,96.91,0.07,2.04,0.96,0,0,0,0.01
2010,95.83,0.06,2.63,1.4,0.05,0,0,0.03
2011,94.31,0.03,3.81,1.23,0.55,0,0.04,0.03
2012,94.01,0.04,3.8,0.8,1.11,0,0.15,0.1
2013,94.17,0.22,4.32,1.05,0,0.01,0.22,0
2014,92,0.78,6.11,0.97,0,0.07,0.07,0
2015,89.93,3.12,5.66,1.16,0,0.12,0,0
2016,80.37,9.44,8.5,1.59,0,0.1,0,0
2017,83.38,4.21,11.29,1.08,0,0.04,0,0
2018,75.99,8,14.99,0.87,0,0.13,0,0
2019,65.54,15.03,18.64,0.72,0,0.06,0,0
2020,70.22,7.45,20.73,1.46,0,0.14,0,0
2021,61.43,30.81,5.59,1.95,0,0.2,0,0
2022,60.22,34.42,3.3,1.7,0,0.36,0,0
2023,59.45,35.7,3.24,1.3,0,0.31,0,0
