"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.25,0.36,0.22,0.17,0,0,0,0
2010,99.34,0.45,0.06,0.1,0.04,0,0,0
2011,99.07,0.53,0.04,0.11,0.23,0.02,0,0
2012,98.4,0.8,0.05,0.25,0.4,0.11,0,0
2013,96.13,2.52,0.05,0.76,0,0.53,0,0
2014,95.07,3.37,0.6,0.8,0,0.16,0.01,0
2015,89.76,5.1,3.69,1.43,0,0,0.02,0
2016,79.09,6.45,12.76,1.68,0,0,0.03,0
2017,85.2,9.44,3.73,1.59,0,0,0.04,0
2018,85,8.57,5.02,1.37,0,0,0.04,0
2019,83.4,10.37,4.99,1.22,0,0,0.02,0
2020,82.33,13.72,2.61,1.3,0,0,0.04,0
2021,74.86,12.87,10.09,2.12,0,0,0.05,0
2022,76.57,12.06,8.8,2.5,0,0,0.08,0
2023,70.42,13.33,14.14,2.04,0,0,0.06,0
