"Date","Android","iOS","Unknown","Nokia Unknown","Linux","SymbianOS","Series 40","Samsung","Windows","Sony Ericsson","Other"
2012,83.05,12.61,0.34,0,0.13,2.88,0.39,0.09,0.13,0.23,0.16
2013,87.22,9.92,0.6,0,0.63,0.93,0.27,0.09,0.18,0.08,0.08
2014,89.23,8.36,1.36,0.05,0.6,0.12,0.08,0.04,0.11,0.01,0.03
2015,91.24,5.08,2.12,0.66,0.24,0.11,0.24,0.1,0.17,0.02,0.03
2016,90.82,5.99,1.9,0.59,0.2,0.08,0.19,0.1,0.08,0.03,0.02
2017,84.3,7.08,7.77,0.37,0.11,0.06,0.04,0.05,0.05,0.16,0.02
2018,89.07,8.06,2.65,0.01,0.03,0.01,0.02,0.04,0.03,0.06,0.01
2019,89.72,9.7,0.48,0.01,0.02,0.01,0.01,0.03,0.02,0.01,0
2020,88.65,11.19,0.04,0.01,0.02,0,0,0.08,0.01,0,0.01
2021,84.62,15.07,0.04,0,0.02,0,0,0.23,0,0,0
2022,87.02,12.66,0.03,0,0.01,0,0,0.28,0,0,0
2023,85.94,13.74,0.02,0,0.01,0,0.01,0.26,0.01,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
