"Date","Android","iOS","Series 40","Samsung","SymbianOS","Windows","Unknown","BlackBerry OS","Nokia Unknown","Linux","LG","bada","Sony Ericsson","Playstation","Other"
2012,48.25,36.52,7.97,1.12,3.25,0.57,1.05,0.36,0,0.07,0.02,0.23,0.48,0.01,0.13
2013,59.45,31.87,5.14,0.4,1.22,0.5,0.73,0.21,0.01,0.12,0.04,0.13,0.12,0.01,0.07
2014,59.31,36.76,1.87,0.29,0.39,0.35,0.36,0.29,0.02,0.11,0.09,0.06,0.03,0.03,0.02
2015,62.77,34.29,1.14,0.16,0.2,0.46,0.23,0.25,0.15,0.08,0.12,0.06,0.04,0.03,0.01
2016,70.94,26.18,1.27,0.18,0.11,0.45,0.15,0.35,0.18,0.02,0.08,0.04,0.03,0.01,0
2017,73.76,25.02,0.36,0.13,0.04,0.21,0.1,0.23,0.05,0.01,0.04,0.01,0,0.01,0
2018,72.7,26.68,0.13,0.15,0.02,0.08,0.07,0.13,0.01,0.01,0,0.01,0,0.01,0.01
2019,74.24,25.45,0.05,0.12,0,0.05,0.01,0.02,0.03,0.01,0,0,0,0,0
2020,73.85,25.91,0.01,0.18,0,0.02,0.01,0.01,0.01,0,0,0,0,0.01,0
2021,67.62,31.92,0,0.44,0,0,0,0,0,0,0,0,0,0,0
2022,60.87,38.62,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2023,57.74,41.77,0,0.4,0.01,0.03,0.01,0.01,0,0.01,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
