"Date","iOS","Android","Samsung","Windows","Unknown","SymbianOS","BlackBerry OS","Linux","Series 40","Playstation","Other"
2012,50.34,47.53,0.05,0.4,0.32,0.65,0.16,0.1,0.2,0,0.24
2013,49.64,48.99,0.05,0.44,0.17,0.24,0.09,0.17,0.09,0.01,0.1
2014,51.54,47.52,0.02,0.48,0.11,0.05,0.08,0.07,0.03,0.05,0.04
2015,54.83,44.3,0.01,0.39,0.16,0.02,0.1,0.08,0.01,0.03,0.05
2016,62.5,36.86,0.02,0.29,0.17,0.01,0.06,0.02,0,0.04,0.04
2017,64.05,35.57,0.05,0.09,0.17,0,0.02,0.01,0,0.01,0.02
2018,73.44,26.19,0.23,0.03,0.1,0,0,0,0,0,0
2019,72.91,26.66,0.34,0.02,0.07,0,0,0,0,0,0
2020,67.07,31.93,0.96,0.01,0.03,0,0,0,0,0,0
2021,67.59,31.02,1.28,0,0.11,0,0,0,0,0,0
2022,65.83,32.45,1.7,0.01,0.01,0,0,0,0,0,0
2023,63.76,34.26,1.91,0.02,0.03,0,0.01,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
