"Date","Windows","OS X","Unknown","Chrome OS","Linux","iOS","Android","Playstation","Other"
2009,92.51,3.98,3.03,0,0.44,0,0,0.03,0
2010,94.21,4.48,0.93,0,0.22,0.1,0,0.04,0.01
2011,94.73,3.4,0.71,0,0.39,0.6,0.11,0.05,0.01
2012,94.69,3.2,0.28,0,0.37,1.12,0.25,0.01,0.08
2013,95.47,3.85,0.06,0.09,0.34,0,0.19,0,0
2014,93.63,5.17,0.26,0.42,0.47,0,0.05,0,0
2015,87.16,10.1,1.43,0.9,0.41,0,0,0,0
2016,84.05,9.2,5.71,0.58,0.46,0,0,0,0
2017,84.8,11.48,2.52,0.79,0.4,0,0,0,0
2018,79.25,13.45,4.49,2.37,0.45,0,0,0,0
2019,64.3,27.72,5.27,2.48,0.23,0,0,0,0
2020,67.55,27.26,2.44,2.45,0.29,0,0,0,0
2021,66.38,26.59,2.12,4.33,0.58,0,0,0,0
2022,67.75,24.47,1.74,5.32,0.73,0,0,0,0
2023,68.61,22.58,4.44,3.44,0.93,0,0,0,0
