"Date","Android","iOS","Linux","Windows","Samsung","BlackBerry OS","Unknown","webOS","Playstation","Nintendo 3DS","Series 40","Nokia Unknown","SymbianOS","Nintendo","Other"
2012,58.34,39.8,0.03,0.11,0.04,0.86,0.18,0.14,0.19,0.07,0.06,0,0.05,0.08,0.05
2013,51.91,43.58,2.36,0.62,0.02,0.44,0.16,0.46,0.04,0.22,0.03,0,0.06,0.06,0.04
2014,53.7,43.69,1.11,0.35,0.07,0.25,0.39,0.13,0.18,0.03,0.02,0,0.05,0.01,0.02
2015,53.88,43.75,0.95,0.91,0.05,0.04,0.11,0.02,0.15,0.03,0.07,0.02,0.01,0,0.02
2016,58.34,40.4,0.04,0.57,0.11,0.03,0.23,0,0.13,0,0,0.12,0,0,0
2017,59.77,39.79,0.02,0.25,0.06,0.01,0.03,0,0.06,0,0,0.01,0,0,0
2018,60.83,38.9,0.02,0.12,0.08,0,0.04,0,0.01,0.01,0,0,0,0,0
2019,60.79,39.07,0.01,0.04,0.08,0,0,0,0,0,0,0,0,0,0
2020,65.58,34.1,0,0.08,0.24,0,0,0,0,0,0,0,0,0,0
2021,61.17,38.26,0,0.01,0.56,0,0,0,0,0,0,0,0,0,0.01
2022,63.63,34.35,0,0,2.01,0,0,0,0,0,0,0,0,0,0
2023,63.99,33.01,0,0.02,2.98,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
