"Date","Android","iOS","Windows","Playstation","Samsung","Unknown","BlackBerry OS","bada","Series 40","Nintendo 3DS","LG","SymbianOS","Nintendo","Linux","Sony Ericsson","Nokia Unknown","Other"
2012,45.66,42.39,0.64,4.38,0.56,1.97,0.9,0.78,0.31,0.82,0,0.45,0.67,0.13,0.2,0,0.15
2013,63.4,29.6,0.81,1.44,0.58,1.36,0.43,0.59,0.27,0.29,0.34,0.23,0.27,0.13,0.23,0,0.03
2014,77.46,19.89,1.19,0.26,0.2,0.26,0.18,0.18,0.15,0.03,0.06,0.05,0.02,0.04,0.03,0,0
2015,76.53,21.42,1.2,0.33,0.03,0.12,0.11,0.03,0.07,0.03,0.02,0.02,0,0.05,0,0.05,0.01
2016,73.29,24.8,1.07,0.37,0.08,0.06,0.15,0.02,0.01,0.02,0,0,0,0.02,0,0.07,0.02
2017,75.96,22.94,0.54,0.13,0.17,0.12,0.05,0,0.01,0.01,0,0,0,0,0,0.04,0.02
2018,74.6,24.6,0.26,0.03,0.41,0.03,0.02,0,0,0.04,0,0,0,0,0,0.01,0
2019,77.58,21.87,0.11,0.01,0.38,0.03,0,0,0,0,0,0,0,0.01,0,0,0.01
2020,76.79,23.04,0.02,0.01,0.11,0.02,0,0,0,0,0,0,0,0.01,0,0,0.01
2021,72.11,27.62,0,0.01,0.24,0.01,0,0,0,0,0,0,0,0,0,0,0
2022,69.24,30.45,0.01,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
2023,61.76,37.81,0,0,0.41,0,0,0,0,0,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
