"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,98.33,0.02,0.25,1.4,0,0,0,0
2010,98.3,0.06,0.9,0.68,0,0.05,0,0.02
2011,98.06,0.01,1.24,0.34,0,0.28,0.07,0.01
2012,97.45,0.07,1.45,0.32,0,0.61,0.08,0.03
2013,97.74,0.03,1.54,0.38,0.03,0,0.28,0
2014,96.3,0.84,2.1,0.53,0.14,0,0.09,0
2015,92.63,3.01,3.42,0.63,0.3,0,0,0
2016,88.47,7.16,3.25,0.82,0.3,0,0,0
2017,89.05,5.81,3.87,0.87,0.39,0,0,0
2018,82.69,9.28,6.89,0.73,0.41,0,0,0
2019,83.58,9.87,5.51,0.77,0.26,0,0,0
2020,83.83,6.84,7.9,1.3,0.12,0,0,0
2021,77.87,15.98,4.66,1.28,0.22,0,0,0
2022,77.79,13.71,6.08,1.73,0.68,0,0,0
2023,71.75,20.77,4.29,2.74,0.45,0,0,0
