"Date","Android","iOS","BlackBerry OS","Windows","Samsung","Linux","Unknown","webOS","Playstation","Nokia Unknown","Other"
2012,24.64,67.84,6.36,0.05,0,0.16,0.08,0.52,0.1,0,0.26
2013,32.48,54.95,7.79,0.47,0,3.4,0.03,0.46,0.07,0,0.35
2014,50.2,38.29,7.14,2.21,0.09,1.53,0.03,0,0.37,0.04,0.11
2015,67.92,24.73,2.52,1.77,0,2.43,0.53,0,0.01,0.06,0.03
2016,65.88,30.95,1,1.48,0.03,0.39,0.18,0,0.01,0.07,0.01
2017,68.33,29.81,0.17,1.58,0,0.08,0,0,0.02,0,0.02
2018,66.48,32.12,0.11,1.17,0.09,0,0,0,0.02,0,0.01
2019,78.21,21.45,0.04,0.13,0.16,0.01,0,0,0,0,0
2020,77.71,21.27,0.02,0.06,0.93,0,0,0,0,0,0
2021,47.96,49.1,0.01,0.01,2.91,0,0,0,0,0,0
2022,65.56,34.03,0.01,0,0.39,0,0,0,0.01,0,0
2023,64.38,35.08,0,0,0.54,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
