"Date","Android","iOS","Windows","Series 40","Samsung","Linux","BlackBerry OS","SymbianOS","Unknown","Playstation","Nokia Unknown","bada","Other"
2012,31.52,62.17,0.84,1.68,0.22,0.06,0.95,1.53,0.32,0.11,0,0.15,0.45
2013,37.67,56.56,1.41,1.76,0.14,0.53,0.49,0.72,0.48,0.03,0,0.06,0.16
2014,49.17,46.17,3.1,0.43,0.01,0.46,0.26,0.15,0.12,0.04,0,0.02,0.05
2015,54.15,42.27,2.47,0.21,0.01,0.38,0.21,0.09,0.09,0.04,0.04,0.02,0.02
2016,59.75,37.89,1.87,0.07,0.07,0.06,0.14,0.02,0.05,0.03,0.04,0,0.01
2017,63.21,35.44,1.07,0.02,0.09,0.02,0.05,0.02,0.04,0.01,0.02,0,0.01
2018,66.11,33.11,0.42,0.01,0.13,0.02,0.04,0.01,0.12,0.01,0.02,0,0.01
2019,69.52,30.07,0.15,0,0.17,0.01,0.01,0,0.07,0,0,0,0
2020,71.97,27.7,0.04,0,0.28,0.01,0,0,0,0,0,0,0
2021,66.4,32.72,0,0,0.86,0.01,0,0,0.01,0,0,0,0
2022,63.47,35.92,0.03,0,0.57,0,0,0,0,0,0,0,0
2023,61.18,38.23,0.05,0,0.49,0.01,0.01,0,0.01,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
