"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,96.89,1.94,0.29,0.83,0,0,0,0.05
2010,96.45,2.46,0.14,0.88,0.04,0,0,0.04
2011,95.67,2.85,0.06,1.03,0.33,0.04,0,0.03
2012,95.23,3.13,0.04,0.84,0.64,0.09,0,0.03
2013,94.99,3.58,0.02,0.97,0,0.43,0,0
2014,93.53,4.57,0.55,1.17,0,0.14,0.03,0
2015,90.79,6.26,1.74,1.17,0,0,0.05,0
2016,85.87,8.61,3.84,1.6,0,0,0.07,0
2017,83.43,13.39,1.87,1.21,0,0,0.11,0
2018,77.06,18.01,3.58,1.24,0,0,0.11,0
2019,71.31,21.19,6.1,1.32,0,0,0.08,0.01
2020,77.17,19.63,1.86,1.26,0,0,0.07,0.01
2021,86.44,8.91,3.42,1.1,0,0,0.12,0.02
2022,78.95,11.86,6.96,1.86,0,0,0.34,0.03
2023,77.85,10.64,9.18,2.05,0,0,0.27,0.02
