"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,97.43,1.73,0.56,0.27,0,0,0,0.01
2010,95.79,3.17,0.27,0.56,0.17,0,0,0.03
2011,94.33,3.8,0.17,0.61,0.98,0.08,0,0.03
2012,94.03,3.92,0.11,0.44,1.35,0.13,0,0.02
2013,94.3,4.33,0.05,0.45,0,0.85,0.02,0
2014,92.51,5.15,0.96,0.98,0,0.36,0.04,0
2015,88.87,5.77,4.26,1.05,0,0,0.04,0
2016,81.82,6.65,10.78,0.71,0,0,0.03,0
2017,87.98,7.94,3.49,0.55,0,0,0.03,0
2018,83.61,8.02,7.7,0.61,0,0,0.06,0
2019,84.12,8.61,6.67,0.57,0,0,0.03,0
2020,85.16,12.5,1.73,0.58,0,0,0.02,0
2021,82.65,10.44,5.76,1.02,0,0,0.13,0.01
2022,83.52,11.11,4.33,0.91,0,0,0.12,0.01
2023,78.32,9.79,9.76,2.02,0,0,0.1,0
