"Date","Android","iOS","SymbianOS","Series 40","Unknown","Windows","Nokia Unknown","Samsung","Linux","Sony Ericsson","LG","BlackBerry OS","bada","Playstation","Other"
2012,22.76,27.89,36.4,4.94,2.8,0.7,0,1.04,0.1,1.84,0.22,0.32,0.51,0.21,0.27
2013,38.76,24.16,20.38,9.1,1.83,1.17,0.08,1.75,0.5,1.23,0.46,0.19,0.22,0.09,0.08
2014,58.04,19.22,9.53,8.19,0.93,1.36,0.19,1.11,0.25,0.65,0.25,0.1,0.1,0.03,0.05
2015,71.53,17.79,2.92,2.51,1.46,1.12,1.36,0.24,0.68,0.12,0.14,0.07,0.02,0.02,0.02
2016,76.01,17.92,0.86,0.65,1.63,0.79,1.17,0.13,0.69,0.03,0.03,0.04,0.01,0.02,0.02
2017,73.1,21.52,0.12,0.23,4.06,0.31,0.51,0.04,0.05,0.01,0.01,0.02,0,0.01,0.01
2018,73.44,24.16,0.02,0.06,1.95,0.19,0.09,0.02,0.01,0,0.05,0.01,0,0,0
2019,74.8,25.03,0,0,0.05,0.07,0.02,0.01,0.01,0,0,0,0,0.01,0.01
2020,71.6,28.3,0,0,0.01,0.04,0,0.02,0.01,0,0,0,0,0,0
2021,69.96,29.94,0,0,0.01,0,0,0.08,0,0,0,0,0,0,0
2022,65.77,34.11,0,0,0.01,0.01,0,0.08,0,0,0,0.01,0,0,0.01
2023,60.8,39.09,0,0,0.01,0,0,0.08,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
