"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Playstation","Other"
2009,96.48,2.81,0.06,0.58,0,0,0,0.06,0.02
2010,95.86,3.31,0.04,0.59,0.08,0,0,0.09,0.03
2011,94.35,4.33,0.02,0.64,0.51,0.03,0,0.09,0.03
2012,93.85,4.55,0.02,0.63,0.76,0.1,0,0.04,0.05
2013,92.8,5.64,0.03,0.93,0,0.59,0.02,0,0
2014,89.13,7.98,1.03,1.44,0,0.34,0.09,0,0
2015,85.56,9.81,3.18,1.31,0,0,0.14,0,0
2016,79.64,12.31,6.88,1.02,0,0,0.15,0,0
2017,77.55,18.87,2.32,1.09,0,0,0.16,0,0
2018,74.04,20.57,4.03,1.12,0,0,0.24,0,0
2019,68.68,24.37,5.91,0.88,0,0,0.16,0,0
2020,69.43,26.39,2.6,1.33,0,0,0.25,0,0
2021,77.9,12.96,5.66,2.94,0,0,0.54,0,0.01
2022,85.25,7.88,4.15,2.11,0,0,0.6,0,0.02
2023,82.35,8.52,7.07,1.47,0,0,0.58,0,0.02
