"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.23,1.34,0.18,0.23,0,0,0,0.01
2010,97.88,1.64,0.12,0.27,0.07,0,0,0.03
2011,96.43,2.05,0.05,0.27,0.86,0.33,0,0.02
2012,94.39,2.68,0.04,0.28,1.62,0.97,0,0.02
2013,95.32,3.25,0.04,0.44,0,0.94,0,0
2014,93.9,4.61,0.66,0.49,0,0.27,0.07,0
2015,90.16,6.03,3.07,0.63,0,0,0.1,0.01
2016,83.87,8.34,7.15,0.54,0,0,0.1,0
2017,86.54,10.67,2.1,0.6,0,0,0.09,0
2018,82.78,12.06,4.34,0.65,0,0,0.16,0.01
2019,79.68,13.81,5.5,0.85,0,0,0.14,0.01
2020,80.62,13.82,3.83,1.61,0,0,0.11,0.01
2021,79.87,11.13,6.28,2.34,0,0,0.34,0.04
2022,80.41,12.18,4.6,2.51,0,0,0.26,0.04
2023,74.77,13.52,8.23,3.02,0,0,0.43,0.03
