"Date","Windows","Unknown","OS X","Linux","iOS","Android","Chrome OS","Other"
2009,96.63,0.11,2.19,1.05,0,0,0,0.02
2010,94.72,0.09,3.41,1.67,0.05,0,0,0.06
2011,93.31,0.04,3.45,2.57,0.52,0.06,0,0.05
2012,91.71,0.07,5.07,1.76,1.11,0.24,0,0.04
2013,92.98,0.07,5.6,1.09,0,0.25,0,0
2014,93.67,0.47,4.81,0.95,0,0.08,0.01,0
2015,88.39,6.81,3.89,0.89,0,0,0.01,0.01
2016,82.44,12.29,4.21,1.04,0,0,0.01,0
2017,88.78,3.78,6.31,1.08,0,0,0.04,0.01
2018,84.11,6.68,8.07,1.06,0,0,0.08,0
2019,75.11,13.27,10.64,0.94,0,0,0.03,0
2020,72.79,15.99,10.3,0.86,0,0,0.06,0
2021,64.16,31.81,3.37,0.61,0,0,0.05,0
2022,60.17,37.08,1.82,0.86,0,0,0.06,0.01
2023,51.91,45.94,1.34,0.72,0,0,0.07,0.01
