"Date","Android","Series 40","Unknown","SymbianOS","iOS","Linux","Nokia Unknown","Windows","Sony Ericsson","BlackBerry OS","Samsung","Tizen","LG","KaiOS","bada","Other"
2012,7.91,29.32,5.45,40.43,9.34,0.08,0,0.77,1.5,1.13,3.74,0,0.07,0,0.08,0.19
2013,13.22,38.63,10.87,22.21,4.54,0.15,0.26,0.74,1.37,2.11,5.13,0,0.6,0,0.05,0.13
2014,29.85,32.6,9.73,12.66,3.45,0.19,1.04,1.72,2.12,2.5,3.69,0,0.32,0,0.06,0.08
2015,60.02,15.52,3.83,4.05,1.87,4.99,3.4,1.96,0.69,2.18,1.31,0,0.12,0,0.03,0.02
2016,72.65,7.95,4.31,1.62,1.41,4.14,2.85,2.28,0.73,1.12,0.83,0,0.08,0,0.02,0.01
2017,65.58,5.35,15.32,1.26,2.05,0.34,2.41,2.33,3.1,0.99,0.68,0.33,0.21,0,0.02,0.02
2018,69.73,3.38,13.75,0.87,2.38,0.22,1.53,1.74,4.22,0.62,0.53,0.93,0.08,0,0,0.02
2019,82.26,1.52,4.77,0.55,4.97,0.32,0.85,0.76,1.4,0.37,0.27,1.92,0.03,0,0,0
2020,87.63,0.34,1.91,0.09,7.65,0.16,0.18,0.24,0.02,0.14,0.09,1.54,0.01,0,0,0.01
2021,85.95,0.19,1.22,0.02,10.03,0.11,0.1,0.04,0,0.1,0.09,2.01,0.01,0.13,0,0
2022,86.94,0.14,1.63,0.01,9.96,0.03,0.1,0.09,0,0.05,0.08,0.7,0,0.26,0,0
2023,86.72,0.07,2.19,0.01,9.46,0.02,0.02,0,0,0.01,0.05,0.23,0,1.23,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
