"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Windows","Nokia Unknown","Linux","BlackBerry OS","Tizen","Sony Ericsson","LG","Playstation","bada","Other"
2012,20.87,21.42,23.76,7.39,18.22,4.99,0.8,0,0.07,1.34,0,0.64,0.09,0.05,0.15,0.21
2013,25.89,9.65,31.25,8.11,11.05,8.99,1.72,0.19,0.16,1.89,0,0.46,0.48,0.01,0.05,0.08
2014,44.81,8.27,23.44,3.88,6.38,6.63,3.56,0.66,0.22,1.58,0,0.27,0.15,0.03,0.06,0.04
2015,70.74,4.49,7.91,1.83,1.92,2.16,2.84,3.49,3.25,1.22,0,0.05,0.05,0.03,0.02,0.01
2016,81.51,3.12,3.26,1.99,0.82,0.82,2.14,2.68,2.72,0.84,0,0.02,0.02,0.03,0.01,0.01
2017,77.85,6.92,2.03,6.91,0.53,0.58,1.85,2.01,0.22,0.84,0.18,0.03,0.01,0.02,0.01,0.01
2018,83.85,8.94,0.75,2.99,0.37,0.27,1.13,0.74,0.08,0.36,0.47,0.01,0,0.02,0,0
2019,84.54,13.15,0.23,0.26,0.19,0.24,0.53,0.23,0.08,0.1,0.44,0,0,0.02,0,0
2020,87.76,11.61,0.03,0.02,0.01,0.14,0.07,0.04,0.02,0.12,0.15,0,0,0.01,0,0
2021,89.35,10.17,0.03,0.02,0,0.29,0.01,0.02,0.01,0.01,0.09,0,0,0,0,0
2022,84.9,14.39,0.02,0.04,0,0.56,0.01,0.02,0.01,0,0.04,0,0,0,0,0
2023,84.2,15.22,0.02,0.11,0,0.35,0.01,0.02,0.01,0,0.04,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
