"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,98.52,0.22,0.99,0.26,0,0,0,0.01
2010,98.55,0.07,1.02,0.21,0.14,0,0,0.01
2011,96.31,0.05,1.69,0.27,1.49,0,0.16,0.02
2012,93.2,0.14,2.65,0.31,3.14,0,0.51,0.05
2013,95.17,0.11,3.85,0.45,0,0.01,0.4,0.01
2014,94.06,1,4.15,0.6,0,0.05,0.14,0
2015,89.56,4.89,4.77,0.69,0,0.09,0,0.01
2016,78.61,15.45,4.96,0.85,0,0.13,0,0
2017,77.05,16.98,4.82,1,0,0.14,0,0
2018,77.95,13.76,6.9,1.2,0,0.18,0,0
2019,69.05,21.96,7.46,1.35,0,0.18,0,0
2020,74.96,14.05,8.79,1.92,0,0.27,0,0
2021,59.42,31.7,5.83,2.76,0,0.28,0,0.01
2022,61.94,28.37,5.38,3.84,0,0.45,0,0.02
2023,54.02,36.02,4.75,4.71,0,0.48,0,0.02
