"Date","Android","iOS","Windows","BlackBerry OS","Samsung","Unknown","Linux","SymbianOS","Series 40","Nokia Unknown","Other"
2012,33.96,62.56,0.7,1.68,0.07,0.08,0.06,0.45,0.18,0,0.27
2013,36.77,60.81,0.97,0.9,0.04,0.07,0.03,0.17,0.11,0,0.13
2014,47.57,51,0.95,0.24,0.02,0.08,0.02,0.04,0.03,0,0.04
2015,47.63,50.46,1.31,0.17,0.03,0.15,0.05,0.04,0.07,0.06,0.04
2016,51.08,46.8,1.24,0.12,0.05,0.42,0.09,0.02,0.03,0.13,0.03
2017,49.25,49.44,0.77,0.05,0.09,0.31,0.02,0.01,0.01,0.03,0.02
2018,50.42,48.24,0.39,0.03,0.12,0.19,0.58,0.01,0.01,0.01,0.01
2019,55.69,43.54,0.15,0.02,0.09,0.02,0.48,0,0,0,0.01
2020,58.27,41.29,0.04,0.01,0.11,0.02,0.26,0,0,0,0
2021,56.37,42.93,0.01,0,0.54,0.01,0.13,0,0,0,0
2022,58.18,41.19,0.02,0,0.59,0.01,0,0,0,0,0
2023,56.01,43.37,0.02,0,0.57,0.01,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
