"Date","iOS","Android","Windows","Samsung","Series 40","Unknown","BlackBerry OS","SymbianOS","Linux","Nokia Unknown","Other"
2012,72.58,25.16,0.8,0.03,0.18,0.19,0.06,0.52,0.16,0,0.32
2013,71.94,26.54,1,0.01,0.09,0.03,0.05,0.16,0.07,0,0.1
2014,65.6,33.11,0.97,0.01,0.07,0.02,0.05,0.05,0.07,0,0.04
2015,62.76,35.74,1.24,0.01,0.03,0.03,0.07,0.03,0.05,0.01,0.03
2016,61.25,36.59,1.23,0.14,0.19,0.18,0.14,0.04,0.05,0.16,0.03
2017,60.76,37.84,0.6,0.14,0.15,0.17,0.12,0.03,0.02,0.13,0.04
2018,59.4,40.13,0.21,0.14,0.02,0.04,0.01,0,0.01,0.03,0.02
2019,55.55,44.21,0.06,0.14,0,0.01,0.01,0,0,0.01,0.01
2020,58.03,41.77,0.03,0.16,0,0,0,0,0,0,0
2021,62.42,37.16,0.02,0.38,0,0,0,0,0,0,0
2022,62.35,37.2,0.02,0.38,0,0,0,0.02,0.02,0,0
2023,63.85,35.77,0.02,0.34,0,0,0,0,0.01,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
