"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Nokia Unknown","Linux","Windows","BlackBerry OS","LG","Sony Ericsson","Tizen","Brew","bada","Other"
2012,17.74,12.79,24.72,10.07,23.3,7.07,0,0.2,1.12,0.84,0.13,1.4,0,0,0.41,0.23
2013,28.07,10.32,25.69,8.76,14.01,8.75,0.2,0.85,0.75,0.57,0.64,1.02,0,0,0.26,0.13
2014,48.88,10.39,17.96,6.31,6.77,4.91,0.87,0.9,1.41,0.4,0.52,0.41,0,0.03,0.15,0.08
2015,65.3,8.5,10.61,3.79,2.97,2.25,2.78,1.68,1.29,0.24,0.23,0.11,0.04,0.09,0.08,0.05
2016,75.47,7.88,5.42,3.03,1.31,1.23,2.6,1.61,0.95,0.09,0.08,0.03,0.15,0.08,0.05,0.03
2017,84.29,8.55,1.56,2.58,0.37,0.51,0.96,0.37,0.51,0.04,0.02,0.01,0.15,0.06,0.01,0.01
2018,89.61,8,0.4,0.96,0.09,0.18,0.2,0.15,0.24,0.02,0,0,0.08,0.04,0,0.01
2019,92.97,6.48,0.12,0.04,0.02,0.08,0.08,0.06,0.09,0.01,0,0,0.04,0.02,0,0.01
2020,92.01,7.79,0.03,0.02,0,0.05,0.03,0.02,0.03,0,0,0,0.01,0,0,0
2021,92.28,7.61,0.01,0.01,0,0.05,0.01,0.01,0.01,0,0,0,0,0,0,0
2022,91.21,8.72,0,0.01,0,0.05,0,0.01,0,0,0,0,0,0,0,0
2023,87.06,12.89,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
