"Date","Windows","OS X","Unknown","Linux","OpenBSD","Chrome OS","Other"
2009,83.48,0.09,0,1.64,10.93,0,3.87
2010,91.85,6.45,0,1.69,0,0,0
2011,80.25,1.11,6.34,12.3,0,0,0
2012,88.11,0.03,0,11.81,0,0,0.05
2013,93.22,5.17,0.01,0.58,0,0,1.02
2014,94.89,4.63,0.12,0.2,0.05,0,0.11
2015,93.95,4.24,1.45,0.23,0,0.13,0
2016,97.99,1.04,0.87,0.08,0,0.02,0
2017,99.78,0.19,0.02,0.01,0,0,0
2018,99.66,0.24,0.06,0.04,0,0,0
2019,67.82,6.93,25,0.22,0,0.02,0
2020,81.25,10.65,7.89,0.14,0,0.06,0.01
2021,48.12,39.77,11.97,0.1,0,0.04,0
2022,52.37,22.45,24.8,0.27,0,0.11,0
2023,62.48,7.67,29.45,0.33,0,0.07,0
