"Date","Android","iOS","Windows","Unknown","Nokia Unknown","Linux","LG","BlackBerry OS","Series 40","SymbianOS","Samsung","Other"
2012,36.67,63.33,0,0,0,0,0,0,0,0,0,0
2013,46.81,51.1,0.25,0,0,0,0,0,0,1.35,0,0.49
2014,72.49,26.08,0.48,0.48,0,0.48,0,0,0,0,0,0
2015,74.44,12.72,7.38,3.49,0.92,0.82,0,0.11,0.06,0,0,0.07
2016,81.67,4.67,5.86,5.17,1.49,0.54,0.42,0.08,0,0.09,0.01,0.01
2017,86,4.54,0.85,7.19,0.99,0.29,0,0.05,0.02,0.05,0,0.01
2018,85.48,12.47,0.02,1.62,0,0.21,0,0,0.04,0.03,0.01,0.14
2019,93.2,6.66,0.07,0,0.01,0.02,0,0,0.03,0,0.01,0
2020,94.69,5.22,0.01,0,0.02,0,0,0,0.04,0,0.01,0
2021,93.27,6.61,0,0,0,0.01,0,0.01,0.07,0,0.01,0.01
2022,94.1,5.77,0.04,0,0.01,0.04,0,0,0,0,0.03,0
2023,92.17,7.81,0,0,0,0.01,0,0,0,0,0.01,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
