"Date","Android","iOS","Windows","Unknown","Playstation","LG","Linux","BlackBerry OS","Nokia Unknown","Other"
2012,15.28,84.72,0,0,0,0,0,0,0,0
2013,15,83.39,1.47,0,0,0,0.09,0,0,0.05
2014,52.83,45.22,1.34,0,0.5,0,0.04,0.02,0,0.05
2015,55.7,41.66,2.12,0.08,0,0.22,0.14,0,0.07,0
2016,70.09,27.9,1.05,0.05,0.07,0.42,0.34,0,0,0.07
2017,75.01,23.7,1.01,0,0.12,0,0.02,0.11,0.02,0
2018,79.22,18.22,0.17,2.37,0,0,0,0,0,0.02
2019,66.91,33.06,0,0.03,0,0,0,0,0,0
2020,87.66,12.34,0,0,0,0,0,0,0,0
2021,94,5.96,0,0,0,0,0,0,0,0.04
2022,21.56,78.44,0,0,0,0,0,0,0,0
2023,24.2,75.8,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0
