"Date","iOS","Android","Windows","Samsung","Unknown","Series 40","SymbianOS","Linux","BlackBerry OS","Playstation","Sony Ericsson","Nokia Unknown","Other"
2012,71.45,24.56,0.82,0.2,0.76,0.47,0.75,0.1,0.16,0.25,0.11,0,0.35
2013,67.17,28.92,1.6,0.31,0.5,0.41,0.4,0.15,0.14,0.12,0.07,0.01,0.19
2014,60.46,36.14,1.9,0.23,0.34,0.25,0.15,0.18,0.11,0.1,0.05,0.03,0.07
2015,58.84,38.23,2.08,0.12,0.24,0.06,0.04,0.16,0.11,0.06,0.01,0.03,0.03
2016,57.16,40.83,1.36,0.18,0.17,0.02,0.02,0.07,0.1,0.03,0,0.04,0.01
2017,54.04,44.93,0.61,0.12,0.16,0.01,0,0.04,0.04,0.02,0,0.01,0.01
2018,55.83,43.49,0.31,0.17,0.13,0.01,0,0.02,0.02,0.01,0,0,0
2019,53.03,46.55,0.15,0.15,0.07,0,0,0.02,0.02,0.01,0,0,0
2020,45.53,54.14,0.07,0.18,0.04,0,0,0,0.01,0.02,0,0,0
2021,47.51,51.48,0.03,0.95,0.02,0,0,0,0.01,0,0,0,0
2022,48.77,49.95,0.05,1.2,0.01,0,0,0,0,0,0,0,0
2023,47.99,51.12,0.04,0.82,0.01,0,0,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
