"Date","Android","iOS","SymbianOS","BlackBerry OS","Unknown","Windows","Series 40","Nokia Unknown","Samsung","Linux","Sony Ericsson","Other"
2012,35.06,9.66,45.8,5.89,0.24,0.19,2.44,0,0.25,0.04,0.25,0.18
2013,46.45,9.39,36.92,3.48,0.47,0.64,1.83,0.02,0.15,0.48,0.09,0.1
2014,60.6,9.73,24.7,1.35,0.89,1.1,0.95,0.34,0.07,0.21,0.02,0.05
2015,80.01,7.73,8.2,0.33,1.71,0.69,0.16,1.09,0.01,0.02,0,0.04
2016,93.84,4.73,1.03,0.1,0.01,0.24,0.01,0,0.01,0.02,0,0.01
2017,92.91,6.46,0.34,0.09,0.01,0.14,0,0,0.02,0.02,0,0.01
2018,87.32,12.24,0.11,0.03,0.07,0.12,0.01,0,0.04,0.04,0,0.01
2019,87.69,12.13,0,0.01,0.01,0.08,0,0,0.04,0.03,0,0.01
2020,85.23,14.5,0,0,0.01,0.02,0,0,0.22,0.01,0,0
2021,77.19,22.33,0,0,0,0,0,0,0.46,0.01,0,0
2022,74.19,25.55,0,0,0,0,0,0,0.25,0,0,0
2023,73.94,25.82,0,0,0,0,0,0,0.23,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
