"Date","Android","iOS","BlackBerry OS","Series 40","Windows","Unknown","SymbianOS","Samsung","Playstation","Linux","LG","Nokia Unknown","Sony Ericsson","Nintendo 3DS","Other"
2012,55.79,27.69,4.6,5.44,0.28,1.57,2.91,0.54,0.06,0.08,0.08,0,0.41,0.25,0.31
2013,63.63,24.94,3.46,3.79,0.51,1.13,1.17,0.41,0.05,0.21,0.14,0,0.22,0.16,0.17
2014,74.76,19.69,1.89,1.51,0.78,0.28,0.32,0.15,0.24,0.16,0.08,0.02,0.05,0.02,0.04
2015,79.91,17.11,0.96,0.43,0.67,0.11,0.11,0.03,0.22,0.22,0.06,0.13,0.01,0.01,0.01
2016,82.16,16.31,0.36,0.08,0.52,0.1,0.06,0.01,0.13,0.13,0.04,0.08,0,0.01,0.01
2017,83.97,15.02,0.09,0.03,0.55,0.11,0.01,0.04,0.06,0.03,0.06,0.02,0,0.01,0
2018,83,16.14,0.03,0.02,0.33,0.16,0.02,0.12,0.06,0.02,0.04,0.03,0,0.01,0
2019,79.56,20.01,0.01,0,0.16,0.04,0,0.12,0.08,0.01,0,0,0,0,0
2020,82.46,17.25,0.01,0,0.02,0.01,0,0.2,0.03,0,0,0,0,0,0.01
2021,82.79,16.87,0,0,0,0,0,0.31,0.01,0,0,0,0,0,0
2022,81.37,18.29,0,0,0,0.01,0,0.31,0.01,0,0,0,0,0,0
2023,77.31,22.26,0,0,0.02,0.01,0,0.39,0,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
