"Date","Android","iOS","Windows","Series 40","Unknown","Samsung","BlackBerry OS","Nokia Unknown","SymbianOS","Linux","LG","Firefox OS","Sony Ericsson","Playstation","Motorola","bada","Other"
2012,47.31,26.31,0.7,6.41,5.95,1.54,3.29,0,5.23,0.14,0.01,0,1.41,0.24,0.5,0.63,0.33
2013,52.2,24.47,2.46,6.23,5.11,1.08,3.43,0.03,2.53,0.22,0.49,0,0.75,0.15,0.38,0.26,0.21
2014,63.52,19.05,5.19,5.25,2.04,0.37,2.36,0.18,0.79,0.21,0.35,0.12,0.16,0.14,0.12,0.08,0.06
2015,72.3,13.51,5.73,2.61,1.73,0.15,1.14,1.23,0.31,0.5,0.21,0.29,0.03,0.13,0.05,0.03,0.04
2016,80.5,11.1,4.33,0.77,1.07,0.28,0.37,0.79,0.12,0.29,0.09,0.18,0.01,0.06,0.01,0.01,0.01
2017,85.48,9.25,2.14,0.26,1.44,0.74,0.11,0.29,0.04,0.08,0.05,0.08,0.01,0.04,0,0,0.01
2018,87.75,9.25,0.94,0.1,0.37,1.32,0.04,0.08,0.01,0.04,0.02,0.03,0,0.03,0,0.01,0.01
2019,88.73,9.64,0.41,0.03,0.13,0.94,0.02,0.03,0,0.02,0,0.01,0,0.02,0,0,0.01
2020,90.41,8.79,0.07,0,0.03,0.65,0.01,0.01,0,0,0,0.01,0,0.01,0,0,0
2021,91.41,8.18,0.02,0,0.02,0.35,0,0,0,0,0,0,0,0.01,0,0,0
2022,91.12,8.39,0.01,0,0.03,0.44,0,0,0,0.01,0,0,0,0,0,0,0
2023,89.35,9.83,0.01,0,0.03,0.77,0,0,0,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
