"Date","Windows","Unknown","OS X","Linux","iOS","Android","Chrome OS","Other"
2009,97.05,0.9,1.8,0.22,0,0,0,0.03
2010,96.77,0.19,2.57,0.35,0.12,0,0,0.01
2011,94.64,0.25,3.61,0.46,0.83,0.2,0,0
2012,92.97,0.15,4.44,0.51,1.49,0.42,0,0.02
2013,92.95,0.06,4.63,1.16,0,1.2,0,0
2014,90.06,3.5,5.31,0.76,0,0.35,0.02,0
2015,81.11,13.48,4.42,0.97,0,0,0.02,0
2016,82.43,12.78,3.99,0.79,0,0,0.01,0
2017,96.11,1.39,1.85,0.64,0,0,0.01,0
2018,86.4,11.4,1.36,0.82,0,0,0.01,0
2019,71.47,23.56,4.48,0.47,0,0,0.02,0
2020,77.25,15.68,6.47,0.56,0,0,0.05,0
2021,75.24,21.24,2.82,0.63,0,0,0.07,0
2022,41.99,53.55,1.91,2.45,0,0,0.1,0
2023,54.11,40.97,2.69,2.07,0,0,0.16,0
