"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","Windows","BlackBerry OS","Linux","Nokia Unknown","Playstation","Sony Ericsson","bada","LG","Other"
2012,27.34,37.21,9.41,15.87,2.81,3.31,0.55,1.44,0.13,0,0.63,0.83,0.23,0.03,0.21
2013,40.38,37.34,6.44,6.45,3.88,2.2,0.64,1.23,0.32,0.02,0.37,0.37,0.14,0.11,0.1
2014,53.33,37.93,2.17,1.58,1.7,0.62,0.99,0.88,0.26,0.1,0.19,0.08,0.07,0.07,0.04
2015,62.37,30.48,1.46,0.89,1.67,0.35,1.1,0.54,0.38,0.47,0.11,0.04,0.06,0.05,0.01
2016,67,27.3,1.12,0.5,1.16,0.36,1.03,0.35,0.43,0.56,0.09,0.02,0.03,0.05,0.01
2017,72.09,25.34,0.34,0.2,0.52,0.2,0.65,0.14,0.22,0.2,0.06,0.01,0.01,0.02,0.01
2018,77.45,21.26,0.12,0.1,0.28,0.19,0.31,0.05,0.11,0.06,0.04,0.02,0,0.01,0
2019,79.47,20.02,0.04,0.02,0.06,0.16,0.11,0.02,0.06,0.03,0.02,0,0,0,0
2020,81.98,17.72,0.01,0,0.02,0.19,0.03,0.01,0.01,0.01,0.01,0,0,0,0
2021,86.33,13.1,0,0,0.02,0.5,0.01,0,0.01,0.01,0.01,0,0,0,0
2022,87.82,11.58,0,0,0.01,0.56,0.01,0,0,0,0,0,0,0,0
2023,86.47,13.03,0,0,0.01,0.46,0.01,0,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
