"Date","Android","Series 40","iOS","Unknown","Nokia Unknown","SymbianOS","Windows","BlackBerry OS","Samsung","Linux","LG","Sony Ericsson","KaiOS","bada","Playstation","Other"
2012,14.7,32.75,9.05,9.02,0,28.72,1.04,1.37,1.66,0.09,0.05,1.13,0,0.16,0.03,0.22
2013,23.85,34.75,8.05,10.07,0.48,18.3,1.01,0.95,0.97,0.77,0.1,0.52,0,0.08,0.02,0.09
2014,39.32,26.7,8.27,9.72,2.83,9.07,1.36,0.64,0.56,1.08,0.12,0.22,0,0.05,0.02,0.04
2015,59.95,11.66,6.54,7.79,6.99,4.12,1.84,0.42,0.26,0.2,0.13,0.05,0,0.02,0.02,0.02
2016,72.13,5.18,6.03,6.35,5.87,2.11,1.62,0.24,0.18,0.12,0.12,0.02,0,0.01,0.01,0.01
2017,81.35,2.19,5.26,5.05,3.6,0.98,1.13,0.15,0.11,0.05,0.11,0.01,0,0,0.01,0.01
2018,88.82,1.09,4.23,2.75,1.74,0.48,0.62,0.08,0.08,0.04,0.04,0,0,0,0.01,0.01
2019,93.26,0.5,4.07,0.38,1.14,0.19,0.31,0.04,0.05,0.04,0,0,0.01,0,0,0
2020,94.32,0.1,4.83,0.09,0.33,0.03,0.09,0.02,0.03,0.07,0,0,0.08,0,0,0
2021,94.36,0.07,4.68,0.12,0.31,0.01,0.01,0.01,0.04,0.19,0,0,0.2,0,0,0
2022,92.9,0.08,6.33,0.14,0.27,0.01,0.01,0,0.08,0.02,0,0,0.15,0,0,0
2023,93.51,0.04,6,0.08,0.15,0.01,0.01,0,0.09,0.01,0,0,0.12,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
