"Date","Windows","Unknown","OS X","Linux","Android","Chrome OS","iOS","Playstation","Other"
2009,97.91,0.11,0.91,1.06,0,0,0,0.02,0.01
2010,97.31,0.1,1.3,1.23,0,0,0.02,0.03,0
2011,97.12,0.14,1.41,1.16,0.02,0,0.11,0.04,0
2012,96.96,0.06,1.58,1.11,0.06,0,0.2,0.02,0.01
2013,97,0.02,1.5,1.08,0.39,0,0,0,0
2014,95.04,1.65,1.83,1.27,0.21,0.01,0,0,0
2015,90.92,5.23,2.29,1.54,0,0.02,0,0,0
2016,87.01,8.7,2.72,1.54,0,0.03,0,0,0
2017,90.97,3.75,3.72,1.5,0,0.05,0,0,0.01
2018,85.75,8.64,3.87,1.57,0,0.16,0,0,0.01
2019,84.84,9.46,4.34,1.29,0,0.06,0,0,0.01
2020,89.9,2.52,5.13,2.34,0,0.1,0,0,0
2021,89.76,4.27,4.1,1.73,0,0.13,0,0,0.01
2022,89.46,4.18,3.97,2.25,0,0.14,0,0,0
2023,84.15,7.79,6.17,1.76,0,0.13,0,0,0
