"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","bada","Nokia Unknown","Unknown","Sony Ericsson","LG","BlackBerry OS","Linux","Playstation","Other"
2012,45.18,14.38,1.64,11.85,8.79,5.02,3.1,0,3.76,4.5,0.38,0.31,0.72,0.19,0.18
2013,62.43,10.75,2.01,9.12,4.72,2.89,2.08,0.03,2.46,2.17,0.55,0.32,0.35,0.07,0.05
2014,82.12,3.34,2.57,5.15,2.09,1.37,0.94,0.12,0.77,0.62,0.57,0.2,0.07,0.03,0.03
2015,86.76,2.09,5.82,2.19,0.8,0.65,0.41,0.55,0.14,0.17,0.21,0.12,0.04,0.02,0.02
2016,89.65,2.35,5.56,0.79,0.35,0.36,0.16,0.44,0.08,0.06,0.07,0.08,0.04,0.01,0.01
2017,93.64,2.57,2.75,0.3,0.14,0.19,0.06,0.18,0.05,0.02,0.02,0.05,0.01,0.01,0
2018,95.15,2.82,1.41,0.16,0.06,0.17,0.03,0.09,0.03,0.01,0.01,0.03,0.01,0.01,0
2019,95.39,3.35,0.82,0.1,0.04,0.15,0.01,0.07,0.02,0.01,0,0.03,0.01,0,0.01
2020,93.72,5.66,0.33,0.07,0.01,0.1,0,0.05,0.01,0,0,0.02,0,0,0.01
2021,92.08,7.37,0.13,0.06,0.01,0.23,0,0.06,0.03,0.01,0,0.01,0,0,0.01
2022,89.12,10.65,0.08,0.02,0,0.09,0,0.02,0.01,0,0,0,0,0,0.01
2023,83.49,16.4,0.01,0,0,0.07,0,0,0,0,0,0,0.01,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
