"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Playstation","Android","Other"
2009,95.86,2.93,1.13,0.01,0,0,0.02,0,0.05
2010,91.59,7.21,0.96,0,0.15,0,0.07,0,0.01
2011,91.23,7.16,0.68,0.01,0.45,0,0.38,0.09,0.01
2012,89.46,8.26,0.78,0.01,1.12,0,0.03,0.31,0.04
2013,87.06,11.16,1.61,0,0,0,0,0.12,0.04
2014,88.43,10.26,0.95,0.32,0,0.01,0,0.03,0
2015,84.74,13.2,1.26,0.67,0,0.12,0,0,0
2016,83.47,13.39,1.16,1.74,0,0.23,0,0,0.01
2017,76.99,21.92,0.53,0.33,0,0.23,0,0,0
2018,71.99,23.91,0.73,0.74,0,2.63,0,0,0
2019,81.16,16.52,0.79,0.93,0,0.6,0,0,0
2020,76.68,22.29,0.31,0.28,0,0.44,0,0,0
2021,69.87,27.65,1,1.02,0,0.47,0,0,0
2022,63.12,35.74,0.24,0.66,0,0.22,0,0,0.02
2023,49.32,49.34,0.41,0.78,0,0.15,0,0,0
