"Date","Windows","OS X","Unknown","Linux","Playstation","iOS","Android","Chrome OS","Nintendo","","Other"
2009,93.81,4.96,0.17,0.42,0.56,0,0,0,0.07,0,0
2010,91.61,6.57,0.08,0.57,0.95,0.14,0,0,0.09,0,0
2011,88.52,8.41,0.04,0.58,1.15,1.06,0.14,0,0.08,0,0.02
2012,86.32,9.84,0.04,0.7,0.61,1.82,0.45,0.01,0.04,0.07,0.09
2013,86.77,10.85,0.07,1.11,0,0,1.15,0.04,0,0,0
2014,84.33,12.04,1.58,1.26,0,0,0.43,0.37,0,0,0
2015,81.51,13.02,3.6,1.27,0,0,0,0.59,0,0,0.01
2016,73.01,14.98,10.15,1.19,0,0,0,0.66,0,0,0.01
2017,73.81,21.1,3.3,1.04,0,0,0,0.74,0,0,0
2018,68.06,26.05,4.11,0.96,0,0,0,0.83,0,0,0
2019,64.01,28.28,5.91,0.92,0,0,0,0.87,0,0,0
2020,62.81,32.41,2.88,0.86,0,0,0,1.04,0,0,0
2021,68.85,24.24,4.55,1.12,0,0,0,1.24,0,0,0
2022,66.73,25.21,3.08,3.68,0,0,0,1.3,0,0,0
2023,63.52,26.04,5.61,2.83,0,0,0,2.01,0,0,0
