"Date","Android","iOS","Windows","Playstation","Linux","Nintendo 3DS","BlackBerry OS","Samsung","Unknown","Series 40","webOS","Nintendo","SymbianOS","Other"
2012,48.15,47.03,1.08,0.74,0.06,0.73,0.8,0.08,0.19,0.15,0.28,0.28,0.17,0.24
2013,48.86,46.42,2.02,0.44,0.41,0.52,0.44,0.03,0.17,0.18,0.17,0.21,0.06,0.05
2014,58.02,37.66,2.59,0.38,0.47,0.23,0.19,0.04,0.11,0.15,0.05,0.03,0.07,0.02
2015,62.48,33.58,2.85,0.3,0.47,0.07,0.12,0,0.03,0.04,0.02,0.01,0.02,0.01
2016,64.16,33.93,1.5,0.16,0.04,0.03,0.07,0.02,0.06,0.01,0.01,0,0,0.01
2017,64.08,35.01,0.62,0.12,0.01,0.04,0.02,0.06,0.03,0,0,0,0,0
2018,63.88,35.71,0.2,0.06,0,0.02,0.01,0.09,0.02,0,0,0,0,0.01
2019,66.59,33.14,0.07,0.01,0,0.01,0,0.15,0.01,0,0,0,0,0.01
2020,61.46,38.3,0.03,0.01,0,0,0,0.18,0.01,0,0,0,0,0.01
2021,53.37,46.14,0.04,0.01,0,0,0,0.43,0,0,0,0,0,0
2022,46.71,52.63,0.01,0.01,0,0,0,0.62,0,0,0,0,0,0
2023,48.88,50.43,0.02,0,0.01,0,0,0.62,0.01,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
