"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.65,0.22,0.06,0.06,0,0,0,0
2010,99.48,0.37,0.06,0.08,0.01,0,0,0
2011,99.26,0.47,0.08,0.1,0.08,0.01,0,0
2012,98.91,0.67,0.08,0.14,0.16,0.02,0,0.01
2013,98.74,0.85,0.02,0.21,0,0.18,0,0
2014,97.59,1.66,0.21,0.46,0,0.06,0.01,0
2015,96.9,2.04,0.61,0.44,0,0,0.02,0
2016,94.48,3.58,1.53,0.38,0,0,0.03,0
2017,93.3,5.43,0.85,0.39,0,0,0.02,0
2018,87.35,9.77,2.42,0.4,0,0,0.06,0
2019,85.87,11.3,2.5,0.31,0,0,0.02,0
2020,85.28,12.47,1.64,0.59,0,0,0.03,0
2021,88.22,5.32,4.65,1.74,0,0,0.07,0
2022,89.66,4.95,3.38,1.92,0,0,0.1,0
2023,81.87,9.23,7.03,1.82,0,0,0.05,0
