"Date","Android","iOS","SymbianOS","Series 40","Windows","Nokia Unknown","Samsung","Unknown","BlackBerry OS","MeeGo","Linux","LG","bada","Sony Ericsson","Other"
2012,34.04,30.27,19.62,10.46,0.13,0,1.52,1.07,1.08,1.03,0.15,0,0.22,0.2,0.21
2013,48.69,28.29,10.79,7.33,0.59,0.04,1.05,1.1,0.63,0.74,0.16,0.2,0.13,0.15,0.12
2014,67.95,22.07,3.8,3.69,0.81,0.15,0.36,0.3,0.26,0.31,0.07,0.11,0.07,0.03,0.01
2015,80.02,15.24,1.48,1.38,0.85,0.51,0.1,0.12,0.1,0.07,0.07,0.04,0.02,0.01,0.01
2016,84.14,13.71,0.58,0.42,0.62,0.29,0.03,0.06,0.05,0.01,0.06,0.01,0,0,0
2017,87.35,11.85,0.22,0.1,0.29,0.1,0.04,0.01,0.02,0,0.02,0,0,0,0
2018,87.82,11.73,0.13,0.05,0.12,0.08,0.03,0.01,0.01,0,0.01,0,0,0,0.01
2019,89.21,10.53,0.02,0.03,0.04,0.1,0.05,0.01,0,0,0.01,0,0,0,0
2020,87.21,12.64,0.01,0.01,0.02,0.02,0.08,0.01,0,0,0,0,0,0,0
2021,86.31,13.57,0.01,0,0,0.01,0.1,0,0,0,0,0,0,0,0
2022,85.84,14.08,0,0,0,0,0.07,0,0,0,0,0,0,0,0
2023,81.53,18.39,0,0,0,0,0.07,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
