"Date","Android","iOS","Series 40","Windows","SymbianOS","Unknown","BlackBerry OS","Nokia Unknown","Linux","Samsung","LG","MeeGo","Playstation","Other"
2012,40.18,12.98,20.34,0.33,17.59,3.11,4.3,0,0.18,0.31,0.01,0.33,0.01,0.32
2013,38.44,7.09,29.58,2.61,11.69,5.89,3.66,0.05,0.12,0.35,0.11,0.21,0.01,0.19
2014,59.37,5.95,20.74,5.28,4.01,2.07,1.84,0.23,0.13,0.18,0.08,0.06,0.02,0.04
2015,72.26,6.88,11.33,4.21,1.63,0.43,0.87,1.71,0.49,0.08,0.04,0.01,0.02,0.01
2016,82.62,6.06,4.8,2.68,0.8,0.43,0.37,1.54,0.55,0.06,0.04,0,0.02,0.01
2017,91.43,5.21,1.14,1.21,0.12,0.34,0.05,0.35,0.05,0.06,0.03,0,0.01,0
2018,93.03,5.68,0.29,0.57,0.03,0.18,0.01,0.12,0.02,0.03,0.02,0,0.01,0
2019,95.17,4.55,0.06,0.11,0.01,0.03,0,0.03,0.01,0.03,0,0,0.01,0
2020,94.38,5.46,0.02,0.03,0,0.02,0,0.01,0,0.07,0,0,0.01,0
2021,93.34,6.51,0.01,0.01,0,0,0,0.01,0,0.11,0,0,0.01,0
2022,92.31,7.47,0.01,0,0,0.01,0,0,0,0.18,0,0,0.01,0
2023,90.26,9.38,0,0.01,0,0.02,0,0,0.03,0.29,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
