"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Playstation","Other"
2009,97.62,1.53,0.7,0.09,0,0,0,0.06,0
2010,96.46,2.7,0.48,0.14,0.16,0,0,0.06,0
2011,94.6,3.71,0.37,0.14,0.98,0.12,0,0.06,0.01
2012,93.87,4.17,0.17,0.17,1.37,0.2,0,0.02,0.03
2013,93.81,5.43,0.02,0.29,0,0.44,0,0,0
2014,91.91,7.04,0.39,0.52,0,0.12,0.02,0,0
2015,90.86,7.08,1.33,0.68,0,0,0.04,0,0
2016,86.78,9.22,3.24,0.7,0,0,0.05,0,0
2017,86.86,11.3,0.93,0.72,0,0,0.19,0,0
2018,81.05,13.7,4.31,0.81,0,0,0.12,0,0
2019,78.48,14.94,5.55,0.73,0,0,0.29,0,0
2020,78.1,18.18,2.53,0.71,0,0,0.47,0,0
2021,77.59,14.02,6.72,0.98,0,0,0.69,0,0.01
2022,79.07,12.9,5.84,1.12,0,0,1.06,0,0.01
2023,74.41,11.35,11.99,1.44,0,0,0.81,0,0.01
