"Date","Android","iOS","Windows","Unknown","bada","Samsung","Playstation","Series 40","BlackBerry OS","Sony Ericsson","LG","Nintendo 3DS","SymbianOS","Nokia Unknown","Linux","Nintendo","Other"
2012,42.67,48.37,0.35,1.02,1.61,0.18,1.25,0.15,1.26,0.46,0.01,1.46,0.61,0,0.09,0.3,0.21
2013,53.32,40.13,1.07,1.23,0.9,0.47,0.45,0.36,0.22,0.26,0.15,0.66,0.41,0,0.08,0.21,0.07
2014,71.68,23.32,2.71,0.64,0.33,0.25,0.19,0.25,0.14,0.2,0.14,0.04,0.05,0.01,0.03,0.01,0.01
2015,70.38,25.16,2.27,0.48,0.28,0.15,0.4,0.2,0.1,0.14,0.16,0.04,0.03,0.15,0.05,0.01,0
2016,68.78,27.4,1.87,0.34,0.37,0.15,0.45,0.06,0.1,0.03,0.2,0.05,0.02,0.13,0.03,0,0.01
2017,69.95,28.43,0.87,0.09,0.29,0.07,0.17,0,0.04,0,0.02,0.03,0.01,0.01,0.01,0,0.01
2018,71.42,27.4,0.42,0.06,0.05,0.3,0.17,0.02,0.02,0,0.01,0.04,0,0.01,0,0,0.06
2019,76.2,23.29,0.1,0.03,0,0.28,0.06,0,0.01,0,0,0.01,0,0.01,0.01,0,0.02
2020,76.54,23.26,0.02,0.02,0,0.11,0.04,0,0,0,0,0,0,0,0.01,0,0
2021,72.45,27.23,0.01,0.01,0,0.29,0.01,0,0,0,0,0,0,0,0,0,0
2022,70.13,29.47,0.02,0.02,0,0.34,0,0,0,0,0,0,0,0,0.01,0,0
2023,66.89,32.67,0.01,0.04,0,0.37,0,0,0,0,0,0,0,0,0.01,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
