"Date","Android","iOS","Series 40","Windows","SymbianOS","Samsung","Unknown","BlackBerry OS","Sony Ericsson","Nokia Unknown","Linux","LG","bada","MeeGo","Other"
2012,43.53,21.35,12.2,0.9,11.85,2.66,3.47,0.99,1.91,0,0.42,0.03,0.43,0.14,0.13
2013,52.54,21.76,9.1,1.29,7.2,2.11,3.11,0.84,1.08,0.01,0.29,0.19,0.28,0.14,0.05
2014,64.65,19.17,5.73,3.28,2.75,1.19,1.26,0.76,0.47,0.08,0.18,0.22,0.16,0.07,0.03
2015,73.8,14.75,3.2,4.71,1.04,0.66,0.28,0.53,0.18,0.34,0.25,0.15,0.07,0.02,0.02
2016,79.7,12.65,1.25,4.45,0.31,0.44,0.15,0.18,0.07,0.49,0.13,0.12,0.04,0,0.01
2017,84.36,11.13,0.59,2.83,0.12,0.26,0.13,0.13,0.03,0.33,0.02,0.04,0.02,0,0
2018,86.82,10.57,0.27,1.68,0.05,0.19,0.06,0.06,0.01,0.23,0.03,0.02,0,0,0
2019,87.99,10.63,0.14,0.85,0.02,0.12,0.02,0.04,0.01,0.16,0.02,0,0,0,0
2020,89.02,10.54,0.03,0.23,0,0.1,0.01,0.02,0,0.04,0.01,0,0,0,0
2021,83.15,16.52,0.02,0.08,0,0.2,0,0.01,0,0.02,0,0,0,0,0
2022,74.59,25.12,0.02,0.02,0,0.18,0.05,0,0,0.01,0,0,0,0,0
2023,79.65,19.92,0.01,0.01,0,0.31,0.08,0,0,0.01,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
