"Date","Android","Unknown","Series 40","iOS","Nokia Unknown","Windows","SymbianOS","Linux","Samsung","LG","Sony Ericsson","Maemo 5","Other"
2012,10.78,9.77,46.74,10.32,0,0.5,15.95,0.02,2.44,0.01,1.25,1.79,0.42
2013,18.32,7.7,46.99,10.28,0.07,0.7,10,0.81,1.93,1.44,0.91,0.7,0.14
2014,29.8,9.55,34.9,9.48,2.87,3.03,4.27,2.06,2.15,1.2,0.62,0,0.07
2015,44.55,14.72,15.27,6.68,9.55,2.12,2.77,2.35,1.29,0.48,0.14,0,0.07
2016,54.08,17.54,11.14,3.07,7.71,2.93,0.69,2.35,0.28,0.09,0.05,0,0.07
2017,67.27,16.71,6.09,3.85,3.08,1.34,0.36,1.05,0.2,0.02,0.01,0,0.02
2018,78.2,12.7,3.6,3.39,0.3,0.88,0.26,0.5,0.16,0.01,0,0,0.01
2019,85.64,5.65,1.11,6.6,0.08,0.18,0.25,0.44,0.03,0.02,0,0,0.01
2020,91.41,0.27,0.09,7.95,0.03,0.09,0,0.15,0.02,0,0,0,0
2021,90.62,0.45,0.04,8.76,0,0.04,0,0.03,0.05,0,0,0,0
2022,93.74,0.08,0.01,6.02,0,0.06,0,0.02,0.05,0,0,0,0.01
2023,93.47,0.03,0.01,6.42,0,0.01,0,0.01,0.05,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
