"Date","Android","iOS","SymbianOS","Series 40","Unknown","Windows","Nokia Unknown","BlackBerry OS","Samsung","Linux","bada","Playstation","LG","Sony Ericsson","Tizen","Other"
2012,17.87,27.23,32.87,14.58,3.14,0.49,0,1.19,1.02,0.15,0.52,0.04,0.02,0.75,0,0.14
2013,29.42,22.91,21.54,17.01,2.22,2.05,0.22,1.25,1.69,0.76,0.61,0.01,0.08,0.17,0,0.06
2014,50.28,21.01,9.14,10.76,1.31,3.58,0.36,1.77,1.06,0.31,0.06,0.03,0.22,0.05,0,0.04
2015,62.99,16.06,4.44,4.41,2.32,3.21,4.17,1.51,0.35,0.33,0.01,0.07,0.04,0.07,0.01,0.02
2016,67.36,18.79,0.57,1.36,3.96,2.63,4.02,0.64,0.24,0.16,0.02,0.1,0.04,0.04,0.04,0.01
2017,74.09,18.94,0.09,0.23,4,1.11,0.95,0.22,0.13,0.03,0,0.07,0.02,0,0.08,0.04
2018,77.53,19.61,0.04,0.07,1.2,1.1,0.18,0.06,0.11,0.03,0,0.01,0.01,0,0.03,0.03
2019,84.49,14.82,0.01,0.01,0.08,0.3,0.05,0.13,0.07,0.02,0,0.01,0,0,0.02,0
2020,86.17,13.38,0.04,0,0.1,0.12,0.01,0.09,0.04,0.04,0,0,0,0,0.01,0.01
2021,64.27,35.47,0,0,0.07,0.02,0.01,0.07,0.08,0.01,0,0,0,0,0,0
2022,58.59,41.08,0.01,0,0.06,0.08,0.01,0.02,0.1,0.03,0,0.01,0,0.01,0,0.01
2023,65.88,33.93,0,0,0.05,0.01,0.01,0,0.1,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
