"Date","Android","Series 40","SymbianOS","iOS","Unknown","Nokia Unknown","Samsung","Linux","BlackBerry OS","Windows","Sony Ericsson","LG","MeeGo","bada","Other"
2012,8.25,39.45,43.6,2.49,3.18,0,1,0.09,0.45,0.22,1.02,0.03,0.09,0.07,0.05
2013,17,44.58,28.91,2.64,3.81,0.05,1.32,0.19,0.61,0.15,0.56,0.06,0.05,0.04,0.02
2014,40.32,35.32,15.97,2.83,2.74,0.61,0.75,0.3,0.48,0.33,0.22,0.07,0.04,0.03,0.01
2015,64.93,18.09,6.41,2.76,1.04,4.92,0.29,0.69,0.28,0.34,0.17,0.05,0.02,0.01,0.01
2016,75.65,8.73,3.24,2.12,2.4,6.4,0.18,0.67,0.14,0.31,0.09,0.05,0.01,0,0.01
2017,79,5.61,1.7,3.22,4.57,5.05,0.1,0.27,0.07,0.27,0.01,0.12,0,0,0.01
2018,87.85,2,0.74,4.37,3.19,1.07,0.07,0.29,0.05,0.21,0,0.14,0,0,0.01
2019,90.94,1.31,0.4,4.4,1.48,0.69,0.05,0.25,0.04,0.42,0,0.01,0,0,0.01
2020,91.88,0.28,0.07,5.9,1.38,0.29,0.04,0.06,0.01,0.07,0,0.01,0,0,0.02
2021,91.93,0.13,0.04,5.98,1.57,0.2,0.05,0.04,0,0.02,0,0,0,0,0.03
2022,88.5,0.12,0.04,7.06,3.9,0.22,0.08,0.04,0,0.01,0,0.01,0,0,0.03
2023,85.31,0.1,0.07,8.44,5.6,0.28,0.09,0.08,0,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
