"Date","Windows","OS X","Chrome OS","Linux","Unknown","iOS","Android","Playstation","Other"
2009,91.78,6.85,0,1.16,0.13,0,0,0.05,0.03
2010,89.89,8.69,0,1.16,0.09,0.09,0,0.06,0.02
2011,87.11,10.62,0,1.16,0.06,0.92,0.05,0.07,0.01
2012,83.82,13.2,0,1.14,0.04,1.6,0.16,0.02,0.02
2013,82.63,15.18,0.02,1.64,0.07,0,0.45,0,0.01
2014,81.58,16.24,0.36,1.46,0.23,0,0.12,0,0.01
2015,79.06,17.75,0.81,1.79,0.58,0,0,0,0.01
2016,75.89,18.98,1.58,1.85,1.7,0,0,0,0.01
2017,72.25,21.68,3.81,1.46,0.79,0,0,0,0.01
2018,68.74,22.57,4.62,1.5,2.56,0,0,0,0.01
2019,65.3,23.22,8.05,1.35,2.07,0,0,0,0
2020,63.81,24.97,9.54,1.14,0.54,0,0,0,0
2021,62.91,22.86,11.26,1.43,1.54,0,0,0,0
2022,66.52,20.99,9.87,1.4,1.22,0,0,0,0
2023,68.87,17.08,10.16,1.14,2.75,0,0,0,0
