"Date","iOS","Android","Windows","Samsung","Series 40","SymbianOS","Unknown","BlackBerry OS","Linux","Sony Ericsson","Nokia Unknown","Other"
2012,70.99,27.2,0.72,0.03,0.15,0.32,0.06,0.05,0.08,0.15,0,0.24
2013,71.45,26.98,0.93,0.03,0.11,0.19,0.05,0.05,0.06,0.07,0,0.1
2014,62.83,36.28,0.73,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0,0.02
2015,62.36,36.46,0.95,0.02,0.05,0.02,0.02,0.04,0.02,0.01,0.03,0.02
2016,60.63,38.26,0.79,0.11,0.04,0.02,0.03,0.04,0.02,0.01,0.04,0.01
2017,59.97,39.38,0.4,0.13,0.02,0.01,0.04,0.02,0.01,0,0.01,0.01
2018,62.27,37.3,0.17,0.19,0.01,0,0.02,0.01,0,0,0.01,0.01
2019,58.65,41.1,0.06,0.15,0,0,0.01,0.01,0,0,0.01,0
2020,52.67,47.12,0.02,0.17,0,0,0,0,0,0,0.01,0
2021,55.56,44,0.01,0.42,0,0,0,0,0,0,0,0
2022,55.86,43.62,0.04,0.46,0,0,0,0,0,0,0,0
2023,56.55,43.01,0.01,0.42,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
