"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Other"
2009,100,0,0,0,0,0,0
2011,98.82,1.15,0,0,0,0.03,0
2012,97.31,2.52,0,0,0,0.15,0
2013,98.09,1.89,0,0.02,0,0,0
2014,98.12,1.67,0.05,0.07,0.09,0,0
2015,90.17,5.1,0.35,3.95,0.41,0,0.02
2016,95.14,2.46,0.43,1.76,0.21,0,0
2017,88.57,6.69,0.86,3.03,0.31,0,0.54
2018,96.91,2.44,0.32,0.12,0.21,0,0
2019,97.06,1.58,0.95,0.11,0.3,0,0
2020,98.12,1.37,0.14,0.33,0.05,0,0
2021,96.62,1.78,1.13,0.18,0.18,0,0.12
2022,88.15,0.48,10.79,0.48,0.1,0,0
2023,88.57,0.6,10.46,0.21,0.17,0,0
2010,0,0,0,0,0,0,0
