"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,97.27,1.62,0.93,0.15,0,0,0,0.03
2010,96.71,2.17,1,0.07,0.04,0,0,0.02
2011,95.72,2.69,1.15,0.06,0.32,0.04,0,0.02
2012,94.84,3.13,1.25,0.03,0.58,0.14,0,0.02
2013,94.86,3.67,1.26,0.02,0,0.19,0,0
2014,93.3,4.76,1.61,0.24,0,0.08,0.01,0
2015,91.92,5.56,1.91,0.57,0,0,0.04,0.01
2016,90.75,6.03,1.7,1.49,0,0,0.03,0
2017,90.65,7.1,1.52,0.68,0,0,0.04,0
2018,88.12,8.39,1.3,2.13,0,0,0.05,0
2019,86.65,9.27,1.52,2.52,0,0,0.03,0
2020,86.89,10.11,1.76,1.19,0,0,0.05,0
2021,88.85,7.36,1.73,1.99,0,0,0.06,0
2022,88.65,7.69,1.4,2.17,0,0,0.1,0
2023,85.76,8.08,1.76,4.29,0,0,0.11,0
