"Date","Windows","OS X","Unknown","Linux","Chrome OS","FreeBSD","NetBSD","Other"
2012,100,0,0,0,0,0,0,0
2013,100,0,0,0,0,0,0,0
2014,100,0,0,0,0,0,0,0
2015,100,0,0,0,0,0,0,0
2016,80.88,15.68,0.69,1.65,0,0.55,0.41,0.14
2017,85.38,8.56,0.2,5.69,0.12,0,0.04,0
2018,91.72,6.13,2.06,0.09,0,0,0,0
2019,87.09,5.92,6.04,0.95,0,0,0,0
2020,81.51,16.99,0,1.51,0,0,0,0
2021,68.71,24.77,0.67,5.5,0.36,0,0,0
2022,87.96,9.84,1.17,0.88,0.15,0,0,0
2023,97.38,2.62,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
