"Date","Android","iOS","Windows","Samsung","Linux","BlackBerry OS","webOS","Firefox OS","Other"
2015,100,0,0,0,0,0,0,0,0
2016,29.76,26.19,13.1,0,10.71,9.52,0,9.52,1.19
2017,43.71,36.02,17.07,0,0,3.19,0,0,0
2018,53.22,46.78,0,0,0,0,0,0,0
2019,54.37,45.51,0.03,0.03,0,0.08,0,0,0
2020,54.19,45.38,0,0.05,0.24,0,0.1,0,0.05
2021,58.1,40.7,0,0.1,0.67,0,0.43,0,0
2022,70.75,20.31,0.29,8.65,0,0,0,0,0
2023,61.19,38.81,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
