"Date","Android","Unknown","Series 40","iOS","Linux","SymbianOS","Samsung","Nokia Unknown","BlackBerry OS","Windows","LG","Sony Ericsson","KaiOS","bada","Playstation","Other"
2012,8.21,12.2,39.22,5.48,0.15,21.82,5.31,0,3.2,0.96,0.37,2.84,0,0.13,0,0.12
2013,12.38,19.89,41.49,2.65,0.23,9.15,6.98,0.07,2.79,0.36,1.96,1.94,0,0.05,0,0.05
2014,26.18,21.76,32.93,3.68,0.6,4.59,3.68,0.88,1.79,1.46,1.43,0.91,0,0.07,0.01,0.02
2015,40.89,30.83,16.61,2.39,1.98,1.44,1.06,1.99,1.12,0.99,0.43,0.19,0,0.05,0.01,0.01
2016,52.7,22.71,11.73,2.67,3.83,0.83,0.55,2.83,0.56,1.15,0.29,0.08,0,0.01,0.04,0.01
2017,52.13,31.3,5.88,3.6,2.66,0.45,0.31,2.06,0.38,0.84,0.21,0.07,0,0.04,0.05,0.01
2018,61.59,27.59,2.62,3.67,2.61,0.17,0.13,0.57,0.16,0.78,0.06,0.01,0,0.01,0.02,0.01
2019,71.04,19.72,0.88,4.17,3.14,0.2,0.07,0.21,0.1,0.43,0.03,0.01,0,0,0.01,0.01
2020,80.09,10.54,0.26,6.5,2.24,0.03,0.04,0.05,0.04,0.19,0,0,0.01,0,0.01,0
2021,80.96,7.57,0.05,9.96,1.24,0.01,0.04,0.05,0.04,0.04,0.01,0,0.04,0,0,0
2022,85.37,3.93,0.02,9.85,0.64,0.01,0.06,0.03,0.01,0.04,0,0,0.03,0,0.01,0
2023,85.35,4.45,0.03,9.65,0.24,0.01,0.07,0.03,0.01,0.04,0,0,0.13,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
