"Date","Android","iOS","Windows","Unknown","Samsung","Series 40","SymbianOS","Firefox OS","BlackBerry OS","LG","Linux","Nokia Unknown","bada","Playstation","Sony Ericsson","KaiOS","Other"
2012,26.66,31.35,1.06,3.4,3.54,10.3,18.02,0,2.45,0.07,0.09,0,1.14,0.46,1.06,0,0.4
2013,32.65,26.51,1.72,5.65,7.46,10.3,8.61,0,2.05,2.34,0.35,0.02,0.99,0.18,0.9,0,0.26
2014,53.71,21.96,3.56,3.36,3.89,5.46,2.86,0,1.48,2.04,0.4,0.1,0.59,0.16,0.34,0,0.09
2015,64.54,13.99,4.8,3.77,2.67,3.01,1.11,1.04,1.35,1.09,1.31,0.7,0.25,0.23,0.11,0,0.02
2016,74.19,10.36,5.79,2.11,1.47,1.17,0.51,1.66,0.59,0.66,0.55,0.57,0.16,0.16,0.04,0,0.01
2017,80.57,10.81,4.24,1.63,0.58,0.3,0.13,0.82,0.35,0.17,0.07,0.22,0.05,0.05,0.01,0,0.01
2018,84,11.98,2.23,0.88,0.27,0.11,0.03,0.2,0.1,0.04,0.03,0.06,0.01,0.04,0.01,0,0.01
2019,86.57,11.74,0.9,0.37,0.17,0.06,0.01,0.04,0.04,0.01,0.02,0.01,0,0.02,0,0,0.03
2020,86.34,13.24,0.16,0.09,0.09,0.01,0,0.03,0.03,0,0.01,0,0,0.01,0,0,0.01
2021,80.43,19.25,0.06,0.06,0.13,0,0,0.01,0.02,0,0,0,0,0,0,0.02,0.01
2022,74.44,25.18,0.06,0.1,0.15,0,0,0,0.01,0,0,0,0,0.01,0,0.04,0
2023,72.36,27.29,0.03,0.1,0.16,0,0,0,0.01,0,0,0,0,0.01,0,0.04,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
