"Date","Windows","Unknown","OS X","Linux","Chrome OS","Android","Other"
2009,98.98,0.03,0.23,0.72,0,0,0.04
2010,99.63,0.03,0.22,0.11,0,0,0
2011,99.26,0.02,0.49,0.17,0,0.01,0.06
2012,98.63,0.09,0.81,0.27,0,0.02,0.17
2013,97.94,0.03,1.43,0.41,0.02,0.17,0
2014,97.34,0.18,1.97,0.38,0.06,0.07,0
2015,94.8,1.39,3.13,0.53,0.15,0,0
2016,90.69,4.51,3.71,0.91,0.19,0,0
2017,92.24,2.06,4.79,0.74,0.15,0,0.01
2018,86.97,6.4,5.57,0.86,0.2,0,0
2019,86.42,7.31,5.17,0.93,0.16,0,0
2020,88.92,2.16,6.48,2.19,0.24,0,0
2021,80.67,9.97,6.24,2.53,0.59,0,0
2022,81.17,8.38,6.45,2.35,1.65,0,0
2023,75.38,13.64,5.94,2.52,2.51,0,0
