"Date","Android","iOS","BlackBerry OS","Windows","Series 40","Unknown","SymbianOS","Samsung","Linux","Nokia Unknown","Playstation","LG","Sony Ericsson","Nintendo 3DS","Other"
2012,27.81,41.64,16.61,1.04,3.04,2.33,4.54,0.97,0.1,0,0.32,0.17,0.69,0.17,0.58
2013,42.88,35.33,13.75,1.11,2.19,1.06,1.96,0.45,0.47,0.01,0.15,0.23,0.23,0.02,0.17
2014,69.45,18.85,8.36,0.99,0.84,0.44,0.3,0.15,0.25,0.04,0.12,0.14,0.05,0,0.02
2015,74.37,16.49,5.46,1.23,0.6,0.66,0.23,0.06,0.22,0.38,0.15,0.12,0.02,0.01,0.02
2016,78.28,14.04,4.29,1.16,0.43,0.65,0.2,0.08,0.12,0.41,0.18,0.11,0,0.02,0.03
2017,80.77,16.11,1.27,0.79,0.1,0.43,0.08,0.06,0.07,0.18,0.1,0.02,0,0.01,0
2018,81.55,16.84,0.69,0.56,0.06,0.12,0.01,0.04,0.05,0.01,0.04,0.01,0,0,0
2019,83.38,15.97,0.21,0.25,0.03,0.01,0.01,0.09,0,0.01,0.01,0,0,0.02,0
2020,82.03,17.7,0.02,0.09,0,0.01,0.01,0.12,0.01,0,0.01,0,0,0,0
2021,80.99,17.99,0.01,0.11,0,0.01,0,0.88,0,0,0.01,0,0,0,0
2022,79.9,19.12,0,0.02,0,0.06,0,0.89,0,0,0,0,0,0,0
2023,76.21,22.83,0,0,0,0.06,0,0.88,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
