"Date","Android","iOS","Unknown","Series 40","Windows","Samsung","Nokia Unknown","Linux","SymbianOS","LG","BlackBerry OS","Playstation","Firefox OS","bada","Sony Ericsson","Other"
2012,22.08,58.21,6.28,2.34,0.34,2.95,0,0.07,4.27,0.07,1.56,0.44,0,0.31,0.64,0.44
2013,31.62,41.6,11.72,4.15,0.88,2.95,0.19,0.26,4.58,0.34,0.72,0.32,0,0.21,0.36,0.1
2014,48.1,28.75,8.65,6.25,1.81,2.05,0.52,0.29,1.71,1.03,0.47,0.17,0,0.1,0.08,0.04
2015,70.37,8.97,10.13,4.5,1.92,0.75,0.99,0.43,0.69,0.42,0.57,0.08,0.07,0.05,0.05,0
2016,74.16,8.31,7.25,3.37,2.36,0.66,0.99,1.15,0.36,0.21,0.55,0.51,0.06,0.03,0.03,0
2017,87.95,5.92,2.34,0.57,1.09,0.4,0.49,0.34,0.2,0.43,0.04,0.14,0.08,0.01,0,0
2018,91.5,4.09,1.93,0.54,0.52,0.09,0.48,0.68,0.08,0.01,0.04,0.02,0.01,0.01,0,0.01
2019,88.51,10.24,0.36,0.03,0.33,0.04,0.18,0.18,0,0,0.01,0.11,0,0.01,0,0
2020,78.47,20.76,0.1,0.02,0.24,0.08,0.03,0.22,0,0,0.01,0.06,0.01,0,0,0
2021,80.33,19.22,0.03,0,0.04,0.29,0.03,0.05,0,0,0,0.01,0,0,0,0
2022,85.97,13.74,0.08,0,0.01,0.15,0.01,0.04,0,0,0,0.01,0,0,0,0
2023,87.92,11.61,0.25,0,0.02,0.17,0,0.01,0,0,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
