"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2009,97.25,1.68,0.07,0.97,0,0,0,0.03,0.01
2010,97.03,1.82,0.04,1.02,0,0.03,0,0.05,0.01
2011,96.64,2.08,0.03,0.94,0,0.21,0.03,0.05,0.01
2012,95.94,2.42,0.03,1.07,0,0.4,0.07,0.03,0.04
2013,95.46,3.01,0.02,1.23,0.02,0,0.25,0,0
2014,92.8,4.19,1.22,1.55,0.11,0,0.13,0,0
2015,88.55,4.56,4.93,1.81,0.15,0,0,0,0
2016,79.59,10.09,8.42,1.69,0.21,0,0,0,0
2017,79.78,13.81,4.73,1.46,0.22,0,0,0,0
2018,76.7,16.21,5.39,1.4,0.3,0,0,0,0
2019,75.94,16.91,5.92,0.97,0.27,0,0,0,0
2020,77.31,17.01,4.15,1.21,0.32,0,0,0,0
2021,80.03,8.02,8.9,2.28,0.77,0,0,0,0
2022,80.94,6.66,9.38,2.02,0.99,0,0,0,0
2023,82.6,4.4,10.05,1.9,1.05,0,0,0,0
