"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2013,90.93,8.65,0.02,0.16,0.19,0.06
2014,94.49,4.96,0.24,0.17,0.11,0.03
2015,73.66,22.94,2.58,0.5,0.31,0
2016,74.05,20.2,4.17,0.82,0.72,0.04
2017,74.79,22.41,1.36,0.67,0.74,0.02
2018,73.42,20.21,3.61,2.15,0.62,0
2019,69.9,24.91,3.63,1.07,0.49,0
2020,68.9,28.37,0.87,0.74,1.12,0
2021,70.2,24.11,4.35,0.44,0.9,0
2022,69.08,25.94,2.88,0.56,1.54,0
2023,70.5,22.5,3.81,2.14,1.04,0.01
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
2012,0,0,0,0,0,0
