"Date","Windows","Unknown","OS X","Linux","iOS","Android","Chrome OS","Other"
2009,96.84,0.16,1.63,1.31,0,0,0,0.05
2010,96.46,0.14,2.06,1.28,0.05,0,0,0.01
2011,96.23,0.12,2.5,0.62,0.45,0.07,0,0.01
2012,94.84,0.02,2.94,0.88,1.03,0.26,0,0.03
2013,94.74,0.03,3.16,1.87,0,0.19,0.01,0
2014,95.15,0.3,3.15,1.33,0,0.06,0.01,0
2015,92.55,2.89,3.33,1.22,0,0,0.01,0
2016,88.49,5.8,4.45,1.24,0,0,0.02,0
2017,89.15,3.38,6.19,1.28,0,0,0.01,0
2018,87.02,5.83,6.4,0.59,0,0,0.16,0
2019,85.67,7.79,5.69,0.73,0,0,0.12,0.01
2020,79.84,12.64,6.47,1.02,0,0,0.03,0.01
2021,65.23,29.47,4.19,1.06,0,0,0.05,0
2022,57.63,34.19,5.34,2.69,0,0,0.11,0.04
2023,55.52,39.51,2.55,2.32,0,0,0.06,0.02
