"Date","iOS","Android","BlackBerry OS","Linux","Windows","Playstation","Samsung","SymbianOS","Unknown","Series 40","webOS","Nintendo 3DS","Nintendo","Nokia Unknown","Other"
2012,80.75,10.17,6.35,0.04,0.15,0.89,0,0.31,0.08,0.35,0.44,0.1,0.31,0,0.04
2013,61.77,27.02,6.01,2.33,1.22,0.39,0.01,0.63,0.09,0.17,0.18,0.06,0.07,0,0.04
2014,58.51,29.58,4.69,4.39,2.46,0.15,0.01,0.02,0.05,0.08,0.04,0.01,0,0,0.01
2015,49.74,42.53,2.48,3.27,1.62,0.05,0,0.01,0.13,0.05,0.03,0.04,0,0.02,0.01
2016,51.88,45.1,1.7,0.12,0.92,0.05,0.03,0.01,0.1,0.02,0,0.01,0,0.06,0.01
2017,53.71,45.22,0.54,0.04,0.27,0.03,0.06,0,0.09,0,0,0,0,0.02,0
2018,49.64,50,0.08,0.04,0.11,0.01,0.11,0,0.01,0,0,0,0,0,0
2019,47.9,51.82,0.04,0.01,0.06,0.01,0.14,0,0,0,0,0,0,0,0
2020,43.97,55.86,0.01,0.01,0.03,0,0.11,0,0,0,0,0,0,0,0
2021,53.46,46.31,0,0.01,0,0,0.22,0,0,0,0,0,0,0,0
2022,56.28,43.47,0,0,0,0.01,0.23,0,0,0,0,0,0,0,0
2023,52.17,47.56,0,0.01,0.02,0,0.24,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
