"Date","Android","Unknown","Series 40","iOS","Samsung","SymbianOS","Linux","Nokia Unknown","LG","Windows","BlackBerry OS","bada","Sony Ericsson","KaiOS","Other"
2012,3.72,3.49,24.87,0.75,16.76,46.99,0.12,0,0.04,0.32,1.43,0.98,0.29,0,0.25
2013,1.43,5.35,35.68,0.33,37.43,18.21,0.01,0,0.29,0.06,0.17,0.48,0.52,0,0.03
2014,33.15,11.36,29.64,4.47,5.52,8.7,0.37,0.63,4.21,0.41,0.78,0.55,0.14,0,0.06
2015,70.81,7.55,5.4,2.13,1.51,1.33,5.69,2.52,1.47,0.4,0.85,0.3,0.01,0,0.02
2016,73.03,9.53,2.34,0.93,1.19,0.58,6.77,3.3,1.35,0.73,0.18,0.05,0,0,0.01
2017,58.15,29.09,2.08,2.78,1.58,0.58,1.17,2,1.9,0.39,0.24,0.03,0,0,0.01
2018,59.28,25.55,3.73,2.84,1.74,0.59,1.21,3.42,1.07,0.38,0.15,0.01,0,0,0.02
2019,81.37,10.14,0.6,4.42,0.79,0.2,0.75,0.64,0.75,0.17,0.16,0,0,0,0
2020,89.49,2.32,0.09,7.65,0.09,0.03,0.09,0.04,0.03,0.05,0.06,0,0,0.07,0
2021,92.47,0.18,0.05,7.11,0.04,0,0.01,0,0.01,0.01,0.02,0,0,0.08,0
2022,90.18,0.07,0.06,9.38,0.05,0,0.01,0,0,0.01,0.15,0,0,0.09,0
2023,92.69,0.15,0.01,7.04,0.03,0,0,0,0,0,0.03,0,0,0.04,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
