"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,96.47,0.36,1.82,1.35,0,0,0,0
2010,97.88,0.15,1.2,0.74,0,0.03,0,0
2011,97.15,0.08,1.17,1.1,0,0.46,0.03,0
2012,96.53,0.04,1.79,1.02,0,0.49,0.06,0.08
2013,97.55,0.02,1.35,1.02,0.01,0,0.06,0
2014,97.51,0.19,1.37,0.86,0.06,0,0.01,0
2015,95.67,0.62,1.99,1.63,0.09,0,0,0
2016,90.03,4.54,3.9,1.43,0.09,0,0,0
2017,91.14,3.26,3.88,1.62,0.11,0,0,0
2018,88.36,4.89,4.88,1.69,0.18,0,0,0
2019,85.47,6.65,6.58,1.19,0.12,0,0,0
2020,88.79,3.86,5.78,1.36,0.2,0,0,0
2021,78.61,15.98,3.16,1.85,0.4,0,0,0
2022,76.72,18.16,2.77,1.29,1.06,0,0,0
2023,76.47,18.44,2.33,1.47,1.29,0,0,0
